Presenters in Digital Humanities Conference from 2016 to 2020,,,,,
Country code,2016,2017,2018,2019,2020
ar,2,4,8,2,2
au,14,7,13,18,13
bb,,,,,1
br,4,6,10,5,6
ca,45,97,57,69,157
cc,,1,,1,
cl,,,1,,
cm,,,,,2
cn,2,1,,10,19
co,,,20,,3
cu,,,3,,
dm,,,2,,
eu:at,31,15,14,40,38
eu:be,24,9,5,23,6
eu:ch,62,39,24,43,33
eu:cy,,,1,,
eu:cz,3,3,1,5,2
eu:de,170,144,87,211,141
eu:dk,2,1,,4,5
eu:ee,3,,,2,
eu:es,31,14,30,22,15
eu:eu,21,12,6,37,8
eu:fi,,2,1,31,16
eu:fr,87,41,42,120,56
eu:gr,20,1,3,5,4
eu:hr,3,,,3,2
eu:hu,2,,,1,
eu:ie,21,23,6,28,4
eu:it,64,7,20,70,3
eu:lu,5,7,3,10,14
eu:nl,75,38,46,155,33
eu:no,6,2,1,2,5
eu:pl,32,14,13,27,3
eu:pt,2,3,8,6,
eu:rs,2,,,1,
eu:ru,13,16,12,17,18
eu:se,13,3,,6,
eu:si,1,3,,4,1
eu:uk,105,83,42,142,103
ge,,,,,1
gh,,,1,,
hk,,,,,3
id,,,,,1
il,5,,5,8,7
in,2,7,,,11
ir,3,,,1,
is,1,,,,
jo,,,,,3
jp,34,31,22,28,45
ke,,,,,1
kr,,1,2,4,3
lb,1,,,,
mn,1,,1,,
mx,9,10,58,9,6
ng,,1,,,6
noaff,1,1,2,,2
nz,,,,,2
pk,,,,1,
pe,,,9,,1
qa,,,,,1
ro,1,,1,,3
sa,,,,,1
sg,1,1,1,1,1
sn,1,,,,
tn,,,,2,
tr,2,9,,4,
tw,11,16,6,22,24
ua,1,,,,
ug,,,,1,2
us,305,392,407,206,468
za,,3,1,2,13
