num	dhconf	c1	c1co	c2	c2co
0006	2016	ie	53.3498053,-6.2603097	uk	51.5073509,-0.1277583
0009	2016	ca	45.4215296,-75.6971931	dk	55.6760968,12.5683372
0009	2016	ca	45.4215296,-75.6971931	il	31.768319,35.21371
0009	2016	ca	45.4215296,-75.6971931	it	41.9027835,12.4963655
0009	2016	ca	45.4215296,-75.6971931	uk	51.5073509,-0.1277583
0009	2016	ca	45.4215296,-75.6971931	us	38.9071923,-77.0368707
0009	2016	dk	55.6760968,12.5683372	il	31.768319,35.21371
0009	2016	dk	55.6760968,12.5683372	it	41.9027835,12.4963655
0009	2016	dk	55.6760968,12.5683372	uk	51.5073509,-0.1277583
0009	2016	dk	55.6760968,12.5683372	us	38.9071923,-77.0368707
0009	2016	il	31.768319,35.21371	it	41.9027835,12.4963655
0009	2016	il	31.768319,35.21371	uk	51.5073509,-0.1277583
0009	2016	il	31.768319,35.21371	us	38.9071923,-77.0368707
0009	2016	it	41.9027835,12.4963655	uk	51.5073509,-0.1277583
0009	2016	it	41.9027835,12.4963655	us	38.9071923,-77.0368707
0009	2016	uk	51.5073509,-0.1277583	us	38.9071923,-77.0368707
0016	2016	at	48.2081743,16.3738189	es	40.4167754,-3.7037902
0016	2016	at	48.2081743,16.3738189	eu	50.8503463,4.3517211
0016	2016	at	48.2081743,16.3738189	gr	37.9838096,23.7275388
0016	2016	at	48.2081743,16.3738189	nl	52.3702157,4.8951679
0016	2016	at	48.2081743,16.3738189	uk	51.5073509,-0.1277583
0016	2016	es	40.4167754,-3.7037902	eu	50.8503463,4.3517211
0016	2016	es	40.4167754,-3.7037902	gr	37.9838096,23.7275388
0016	2016	es	40.4167754,-3.7037902	nl	52.3702157,4.8951679
0016	2016	es	40.4167754,-3.7037902	uk	51.5073509,-0.1277583
0016	2016	eu	50.8503463,4.3517211	gr	37.9838096,23.7275388
0016	2016	eu	50.8503463,4.3517211	nl	52.3702157,4.8951679
0016	2016	eu	50.8503463,4.3517211	uk	51.5073509,-0.1277583
0016	2016	gr	37.9838096,23.7275388	nl	52.3702157,4.8951679
0016	2016	gr	37.9838096,23.7275388	uk	51.5073509,-0.1277583
0016	2016	nl	52.3702157,4.8951679	uk	51.5073509,-0.1277583
0024	2016	at	48.2081743,16.3738189	uk	51.5073509,-0.1277583
0026	2016	nl	52.3702157,4.8951679	us	38.9071923,-77.0368707
0027	2016	ie	53.3498053,-6.2603097	us	38.9071923,-77.0368707
0033	2016	at	48.2081743,16.3738189	de	52.5200066,13.404954
0035	2016	de	52.5200066,13.404954	uk	51.5073509,-0.1277583
0038	2016	gr	37.9838096,23.7275388	no	59.9138688,10.7522454
0040	2016	gr	37.9838096,23.7275388	ie	53.3498053,-6.2603097
0040	2016	gr	37.9838096,23.7275388	se	59.3293235,18.0685808
0040	2016	gr	37.9838096,23.7275388	us	38.9071923,-77.0368707
0040	2016	ie	53.3498053,-6.2603097	se	59.3293235,18.0685808
0040	2016	ie	53.3498053,-6.2603097	us	38.9071923,-77.0368707
0040	2016	se	59.3293235,18.0685808	us	38.9071923,-77.0368707
0042	2016	eu	50.8503463,4.3517211	lu	49.611621,6.1319346
0046	2016	de	52.5200066,13.404954	it	41.9027835,12.4963655
0046	2016	de	52.5200066,13.404954	uk	51.5073509,-0.1277583
0046	2016	it	41.9027835,12.4963655	uk	51.5073509,-0.1277583
0055	2016	de	52.5200066,13.404954	us	38.9071923,-77.0368707
0065	2016	ch	46.9479739,7.4474468	de	52.5200066,13.404954
0069	2016	cn	39.9041999,116.4073963	us	38.9071923,-77.0368707
0070	2016	ie	53.3498053,-6.2603097	nl	52.3702157,4.8951679
0082	2016	ie	53.3498053,-6.2603097	uk	51.5073509,-0.1277583
0085	2016	at	48.2081743,16.3738189	de	52.5200066,13.404954
0085	2016	at	48.2081743,16.3738189	no	59.9138688,10.7522454
0085	2016	at	48.2081743,16.3738189	us	38.9071923,-77.0368707
0085	2016	de	52.5200066,13.404954	no	59.9138688,10.7522454
0085	2016	de	52.5200066,13.404954	us	38.9071923,-77.0368707
0085	2016	no	59.9138688,10.7522454	us	38.9071923,-77.0368707
0088	2016	fr	48.856614,2.3522219	it	41.9027835,12.4963655
0092	2016	ar	-34.6036844,-58.3815591	es	40.4167754,-3.7037902
0093	2016	nl	52.3702157,4.8951679	us	38.9071923,-77.0368707
0098	2016	fr	48.856614,2.3522219	it	41.9027835,12.4963655
0100	2016	fr	48.856614,2.3522219	uk	51.5073509,-0.1277583
0102	2016	de	52.5200066,13.404954	us	38.9071923,-77.0368707
0116	2016	hr	45.8150108,15.9819189	us	38.9071923,-77.0368707
0117	2016	fi	60.1698557,24.9383791	us	38.9071923,-77.0368707
0119	2016	ru	55.755826,37.6172999	uk	51.5073509,-0.1277583
0121	2016	de	52.5200066,13.404954	lb	33.8937913,35.5017767
0125	2016	be	50.8503463,4.3517211	mx	19.4326077,-99.133208
0125	2016	be	50.8503463,4.3517211	uk	51.5073509,-0.1277583
0125	2016	be	50.8503463,4.3517211	us	38.9071923,-77.0368707
0125	2016	mx	19.4326077,-99.133208	uk	51.5073509,-0.1277583
0125	2016	mx	19.4326077,-99.133208	us	38.9071923,-77.0368707
0125	2016	uk	51.5073509,-0.1277583	us	38.9071923,-77.0368707
0130	2016	be	50.8503463,4.3517211	mx	19.4326077,-99.133208
0131	2016	cz	50.0755381,14.4378005	eu	50.8503463,4.3517211
0131	2016	cz	50.0755381,14.4378005	nl	52.3702157,4.8951679
0131	2016	eu	50.8503463,4.3517211	nl	52.3702157,4.8951679
0138	2016	it	41.9027835,12.4963655	pl	52.2296756,21.0122287
0139	2016	jp	35.7090259,139.7319925	us	38.9071923,-77.0368707
0140	2016	at	48.2081743,16.3738189	ch	46.9479739,7.4474468
0140	2016	at	48.2081743,16.3738189	dk	55.6760968,12.5683372
0140	2016	at	48.2081743,16.3738189	gr	37.9838096,23.7275388
0140	2016	at	48.2081743,16.3738189	ie	53.3498053,-6.2603097
0140	2016	at	48.2081743,16.3738189	nl	52.3702157,4.8951679
0140	2016	at	48.2081743,16.3738189	rs	44.786568,20.4489216
0140	2016	ch	46.9479739,7.4474468	dk	55.6760968,12.5683372
0140	2016	ch	46.9479739,7.4474468	gr	37.9838096,23.7275388
0140	2016	ch	46.9479739,7.4474468	ie	53.3498053,-6.2603097
0140	2016	ch	46.9479739,7.4474468	nl	52.3702157,4.8951679
0140	2016	ch	46.9479739,7.4474468	rs	44.786568,20.4489216
0140	2016	dk	55.6760968,12.5683372	gr	37.9838096,23.7275388
0140	2016	dk	55.6760968,12.5683372	ie	53.3498053,-6.2603097
0140	2016	dk	55.6760968,12.5683372	nl	52.3702157,4.8951679
0140	2016	dk	55.6760968,12.5683372	rs	44.786568,20.4489216
0140	2016	gr	37.9838096,23.7275388	ie	53.3498053,-6.2603097
0140	2016	gr	37.9838096,23.7275388	nl	52.3702157,4.8951679
0140	2016	gr	37.9838096,23.7275388	rs	44.786568,20.4489216
0140	2016	ie	53.3498053,-6.2603097	nl	52.3702157,4.8951679
0140	2016	ie	53.3498053,-6.2603097	rs	44.786568,20.4489216
0140	2016	nl	52.3702157,4.8951679	rs	44.786568,20.4489216
0168	2016	ca	45.4215296,-75.6971931	it	41.9027835,12.4963655
0170	2016	gr	37.9838096,23.7275388	uk	51.5073509,-0.1277583
0173	2016	de	52.5200066,13.404954	us	38.9071923,-77.0368707
0182	2016	sn	14.716677,-17.4676861	us	38.9071923,-77.0368707
